Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1367 b,0,0,0.006,0.08,0.00227,1187,998,2.923,1.5741,1.5994,12.7,401.48,4106,4.68,TRUE,nexsci
Kepler-1368 b,0.002,0.001,0.003,0.15,0.0106,2845,2393,3.085,0.6756,1.9035,14.4,1635.82,5906,4.4,TRUE,nexsci
Kepler-1369 b,0,0,0.004,0.24,0.0242,788,662,3.018,25.8731,5.451,13.8,1236.56,5761,4.45,TRUE,nexsci
Kepler-136 b,0,0.001,0.002,0.18,0.062,1262,1061,3.662,11.5789,2.7825,10.5,420.82,6165,4.24,TRUE,nexsci
Kepler-136 c,0,0.001,0.008,0.18,0.0145,1126,947,3.055,16.3992,3.4167,10.5,420.82,6165,4.24,TRUE,nexsci
Kepler-1370 b,0,0,0.003,0.16,0.0127,1045,879,3.068,20.2642,4.285,12.3,1004.1,6202,4.29,TRUE,nexsci
Kepler-1370 c,0,0,0.003,0.11,0.00678,1459,1226,3.119,7.4414,4.731,12.3,1004.1,6202,4.29,TRUE,nexsci
Kepler-1371 b,0,0,0.007,0.07,0.00099,1413,1188,2.764,3.4462,2.101,12.1,515.33,5361,4.55,TRUE,nexsci
Kepler-1371 c,0,0,0.009,0.06,0.00062,1692,1423,2.675,2.0054,1.934,12.1,515.33,5361,4.55,TRUE,nexsci
Kepler-1372 b,0.001,0,0.003,0.11,0.00678,2070,1740,3.119,1.3116,2.025,13.7,1303.22,5677,4.46,TRUE,nexsci
Kepler-1373 b,0.001,0,0.003,0.1,0.00521,2678,2252,3.085,1.2912,1.855,12.8,1699.46,6299,4.27,TRUE,nexsci
Kepler-1374 b,0,0,0.003,0.2,0.0184,907,762,3.04,10.6528,2.711,14.1,1078.46,5323,4.56,TRUE,nexsci
Kepler-1375 b,0.002,0.001,0.004,0.15,0.0116,2363,1987,3.078,3.3004,4.498,12.4,1430.84,6704,4.11,TRUE,nexsci
Kepler-1376 b,0,0,0.003,0.09,0.00364,1307,1099,3.009,5.3088,3.018,13.1,868.06,5659,4.46,TRUE,nexsci
Kepler-1377 b,0.001,0,0.002,0.11,0.0066,2191,1842,3.115,0.7409,1.0163,14,1146.1,5218,4.55,TRUE,nexsci
Kepler-1378 b,0,0,0.005,0.2,0.0172,695,585,3.045,11.954,2.656,13.3,506.43,4407,4.63,TRUE,nexsci
Kepler-1379 b,0.001,0.001,0.003,0.12,0.00705,2022,1700,3.113,0.8818,1.3117,13.8,971.33,5188,4.57,TRUE,nexsci
Kepler-137 b,0,0.001,0.009,0.13,0.00869,959,806,3.099,8.4364,3.2451,11.2,302.98,5187,4.55,TRUE,nexsci
Kepler-137 c,0,0,0.009,0.17,0.0132,738,620,3.064,18.7358,3.0356,11.2,302.98,5187,4.55,TRUE,nexsci
Kepler-1380 b,0,0,0.003,0.13,0.00829,1023,860,3.098,10.3108,5.643,13.9,2462.94,5570,4.48,TRUE,nexsci
Kepler-1381 b,0,0,0.003,0.2,0.0179,769,646,3.041,25.3843,3.638,14,1197.04,5747,4.48,TRUE,nexsci
Kepler-1382 b,0,0.001,0.006,0.17,0.0132,1237,1040,3.064,16.3583,9.858,11.4,738.26,6161,4.1,TRUE,nexsci
Kepler-1383 b,0,0,0.003,0.13,0.00809,1277,1073,3.101,13.9094,6.632,12.3,1027.21,6370,4.23,TRUE,nexsci
